,data_review_id,name,title,star,review,time_ago,extra_attribute,aspect_rating,time_stamp,rating
0,Ci9DQUlRQUNvZENodHljRjlvT25weE5UaGtXbU42VVMxNlgzY3lkV2xZT1VNd2VrRRAB,Md Abu Sayem,1 review · 2 photos,5 stars,One of the most iboque places here out of the city crowd...u should try the spicy chicken wings and those mocktails...just ahhhhhh...so good,a month ago,"Service Dine in Price per person ৳400–600 Food: 5 Service: 5 Atmosphere: 5 Reservation Walk-ins only Seating type Indoor dining area, Bar area Vegetarian options They have a ton of vegeterian options to choose from Parking space Plenty of parking Parking options Free parking lot, Free street parking","{'Food': 5, 'Service': 5, 'Atmosphere': 5}",2025-09-26 17:23:34.748812,5
1,ChZDSUhNMG9nS0VQVDJfbzdRbFlmZElREAE,,,5 stars,,3 months ago,,,2025-06-28 17:23:34.748812,5
2,Ci9DQUlRQUNvZENodHljRjlvT25BMFluVnhlbEZPY1VzeU9VMXJUSE5WVkhVMVMwRRAB,Hasnain Anjum,Local Guide · 44 reviews · 39 photos,4 stars,"A quiet little spot serving refreshing drinks, really liked it as a hangout spot. Their drink options as well as tea and coffee were pretty great. Recommended if you’re in the area.",3 months ago,Service Dine in Meal type Other Price per person ৳200–400 Food: 4 Service: 4 Atmosphere: 5 Wait time No wait,"{'Food': 4, 'Service': 4, 'Atmosphere': 5}",2025-06-28 17:23:34.748812,4
3,ChdDSUhNMG9nS0VJQ0FnTUNZLXVqbWlRRRAB,Tawsif Ahmed,Local Guide · 278 reviews · 445 photos,5 stars,Nice place to hang out. Tea and pancakes are good. But I suggest not to try ramen. Brother accepted it 100%.,4 months ago,Price per person ৳1–200 Food: 4 Service: 4 Atmosphere: 5,"{'Food': 4, 'Service': 4, 'Atmosphere': 5}",2025-05-29 17:23:34.748812,5
4,ChdDSUhNMG9nS0VJQ0FnTUNZbXNHQTFBRRAB,,,3 stars,,4 months ago,,,2025-05-29 17:23:34.748812,3
5,ChdDSUhNMG9nS0VJQ0FnSUNfeDhLbC1BRRAB,Md Ashiqur Rahman,1 review · 12 photos,5 stars,,8 months ago,,,2025-01-29 17:23:34.748812,5
6,ChdDSUhNMG9nS0VJQ0FnSURQM29INS1RRRAB,Purva Patani,3 reviews · 3 photos,4 stars,"The chocolate pancakes were very good but the chilly ramen was very sour, however the place was nice and cozy.",9 months ago,Service Dine in Meal type Dinner Price per person ৳200–400 Food: 4 Service: 5 Atmosphere: 5 Recommended dishes Classic Pancake's,"{'Food': 4, 'Service': 5, 'Atmosphere': 5}",2024-12-30 17:23:34.748812,4
7,ChZDSUhNMG9nS0VJQ0FnSUQzbzlhM1BnEAE,Masud Rana,1 review · 6 photos,5 stars,Very cozy and nice place...staffs were very professional...nice food and service,10 months ago,Service Dine in Meal type Other Price per person ৳200–400 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes Chilly Oil BBQ Ramen Parking space Plenty of parking Parking options Free parking lot,"{'Food': 5, 'Service': 5, 'Atmosphere': 5}",2024-11-30 17:23:34.748812,5
8,ChdDSUhNMG9nS0VJQ0FnSURYeHUyWXlRRRAB,_X-blade_ Luhan,1 review · 1 photo,3 stars,,10 months ago,,,2024-11-30 17:23:34.748812,3
9,ChZDSUhNMG9nS0VJQ0FnSUNYaU5LREd3EAE,Md. Arfin Imtiaz,Local Guide · 8 reviews · 21 photos,5 stars,Its an amazing place to pass some quality time,11 months ago,Food: 5 Service: 5 Atmosphere: 5,"{'Food': 5, 'Service': 5, 'Atmosphere': 5}",2024-10-31 17:23:34.748812,5
10,ChdDSUhNMG9nS0VJQ0FnSURuaDhUSzFBRRAB,Asif Rahman,Local Guide · 56 reviews · 206 photos,5 stars,It has a nice ambience.,11 months ago,Food: 5 Service: 5 Atmosphere: 5,"{'Food': 5, 'Service': 5, 'Atmosphere': 5}",2024-10-31 17:23:34.748812,5
11,ChZDSUhNMG9nS0VJQ0FnSUQ3dlByUEpREAE,Md Motaleb,1 review,5 stars,"very delightful experience
Food was very good and unique",a year ago,Service Dine in Meal type Dinner Price per person ৳1–200 Food: 5 Service: 5 Atmosphere: 5,"{'Food': 5, 'Service': 5, 'Atmosphere': 5}",2025-09-26 17:23:34.748812,5
12,ChdDSUhNMG9nS0VJQ0FnSURyLUtmR2lBRRAB,Adhir Adhir,Local Guide · 1 review · 42 photos,5 stars,An incredibly well evening experience,a year ago,Service Dine in Meal type Dinner Price per person ৳1–200 Food: 5 Service: 5 Atmosphere: 5,"{'Food': 5, 'Service': 5, 'Atmosphere': 5}",2025-09-26 17:23:34.748812,5
